class_id,class_name,ratio,mean_confidence,pixels
41,box,0.218279,0.528773,56530
24,shelf,0.205688,0.428662,53269
6,road,0.130002,0.821423,33668
50,refrigerator,0.087848,0.478005,22751
88,booth,0.080504,0.371426,20849
11,sidewalk,0.075581,0.609665,19574
100,poster,0.073037,0.666260,18915
3,floor,0.040826,0.428665,10573
40,base,0.037466,0.363555,9703
43,signboard,0.035817,0.490558,9276
0,wall,0.014951,0.355610,3872

target,vending machine
target_exact_label_exists,False
roi_mean_confidence,0.531020
