class_id,class_name,ratio,mean_confidence,pixels
78,arcade machine,0.227615,0.400196,21851
14,door,0.120469,0.295794,11565
143,monitor,0.119354,0.307414,11458
144,bulletin board,0.113854,0.322433,10930
8,windowpane,0.101406,0.278193,9735
12,person,0.077542,0.838916,7444
0,wall,0.074927,0.454049,7193
141,crt screen,0.063208,0.338556,6068
1,building,0.046979,0.445414,4510
100,poster,0.045958,0.262418,4412
88,booth,0.007583,0.288031,728
11,sidewalk,0.001104,0.342462,106

target,vending machine
target_exact_label_exists,False
roi_mean_confidence,0.384355
